subject,onset,-4,-2,0,2,4,6,8,10,12,conditions,wrongness,run
YOU_FIRSTTHIRD_01,19,-1.2838,-1.5823,-1.9241,-2.0169,-1.5557,-1.5627,-1.2565,-1.5909,-1.9692,1st_P_harm,1,1
YOU_FIRSTTHIRD_01,36,-2.2429,-2.1737,-2.449,-2.1544,-1.8862,-1.9618,-2.2788,-2.0871,-2.453,1st_P_harm,1,1
YOU_FIRSTTHIRD_01,63,-1.6001,-1.0641,-1.5363,-2.0369,-2.1246,-1.9878,-1.7763,-1.7039,-1.2712,1st_P_harm,3,1
YOU_FIRSTTHIRD_01,79,-2.7767,-2.6758,-2.7024,-2.2662,-1.8047,-1.5588,-1.7249,-2.007,-2.3203,1st_P_harm,2,1
YOU_FIRSTTHIRD_01,100,-2.0982,-2.2084,-2.1407,-2.0412,-2.08,-1.9126,-1.8309,-1.1381,-0.91805,1st_P_harm,3,1
YOU_FIRSTTHIRD_01,107,-1.1381,-0.91805,-1.0264,-1.131,-1.4867,-1.6793,-2.0268,-2.0697,-1.8269,1st_P_harm,2,1
YOU_FIRSTTHIRD_01,139,-2.2422,-2.5945,-2.5629,-2.2474,-1.9579,-2.1031,-2.0691,-2.1631,-1.7789,1st_P_harm,1,1
YOU_FIRSTTHIRD_01,148,-1.3632,-1.4399,-1.447,-1.7518,-1.891,-1.9458,-1.9185,-2.057,-2.0061,1st_P_harm,4,1
YOU_FIRSTTHIRD_01,155,-2.057,-2.0061,-1.8461,-1.6331,-1.6568,-1.8112,-1.5432,-1.9731,-2.3936,1st_P_harm,4,1
YOU_FIRSTTHIRD_01,181,-1.0893,-0.79145,-0.96162,-1.427,-1.6127,-1.4793,-1.6184,-2.1163,-2.2007,1st_P_harm,3,1
YOU_FIRSTTHIRD_01,190,-2.1958,-2.2366,-2.5314,-2.8174,-2.2284,-1.8301,-2.0677,-1.7391,-1.8808,1st_P_harm,4,1
YOU_FIRSTTHIRD_01,228,1.0898,1.1758,0.76161,0.77639,1.038,2.4376,2.4333,1.4231,2.8905,1st_P_harm,4,2
YOU_FIRSTTHIRD_01,235,1.4231,2.8905,3.858,4.0717,2.3731,3.04,2.6782,2.2883,1.8236,1st_P_harm,4,2
YOU_FIRSTTHIRD_01,244,1.3691,1.342,1.7052,1.667,1.8914,1.886,1.9917,1.7197,1.7422,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,260,1.906,2.0491,1.2896,1.5808,1.7245,2.075,1.9786,1.8813,1.8427,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,303,1.8559,1.6907,1.8082,1.8968,1.46,2.5621,3.1556,2.3482,2.3016,1st_P_harm,4,2
YOU_FIRSTTHIRD_01,310,2.3482,2.3016,1.4098,2.254,1.9735,2.3634,3.0591,2.4549,1.8248,1st_P_harm,4,2
YOU_FIRSTTHIRD_01,318,1.8248,1.6548,2.6812,2.442,2.4426,2.252,2.3764,1.7787,2.3547,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,335,2.2458,2.2484,2.0024,1.5903,1.2758,2.2037,0.56047,1.6133,2.0354,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,342,1.6133,2.0354,0.49315,1.5157,1.6531,1.6021,1.4814,1.7761,2.3734,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,365,2.5218,2.491,2.3892,2.1415,1.7363,1.8151,2.0115,2.1164,2.1114,1st_P_harm,4,2
YOU_FIRSTTHIRD_01,381,2.4168,2.324,1.9082,1.7991,2.1552,2.1702,2.1119,2.1442,2.1108,1st_P_harm,3,2
YOU_FIRSTTHIRD_01,27,-1.9692,-2.018,-2.1874,-2.0364,-1.9766,-2.2304,-2.0166,-1.9287,-2.3153,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,45,-2.2465,-2.913,-2.718,-2.1201,-2.1594,-2.0629,-1.9049,-1.585,-1.3955,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,54,-1.3443,-1.4312,-1.4392,-0.68319,-1.6829,-2.0504,-2.0105,-1.5374,-1.3532,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,71,-1.2712,-1.3378,-2.4195,-1.7986,-1.7785,-1.851,-1.7773,-2.7074,-2.7767,1st_P_neut,2,1
YOU_FIRSTTHIRD_01,86,-2.007,-2.3203,-2.4141,-1.854,-1.8151,-1.7673,-2.2963,-1.6224,-1.4053,1st_P_neut,2,1
YOU_FIRSTTHIRD_01,93,-1.6224,-1.4053,-2.0603,-2.2695,-2.5514,-2.4205,-2.2292,-2.0982,-2.2084,1st_P_neut,1,1
YOU_FIRSTTHIRD_01,114,-2.0697,-1.8269,-1.8156,-2.5907,-1.8084,-1.4502,-2.06,-1.8024,-1.441,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,121,-1.8024,-1.441,-1.6219,-2.6055,-2.6132,-2.4875,-1.9438,-1.5044,-0.96791,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,130,-0.58184,-1.4897,-1.9113,-1.9574,-2.3157,-2.09,-2.127,-2.427,-2.5882,1st_P_neut,4,1
YOU_FIRSTTHIRD_01,163,-2.3936,-2.2107,-2.4068,-2.7236,-1.7756,-1.5448,-2.2547,-2.2008,-2.2397,1st_P_neut,3,1
YOU_FIRSTTHIRD_01,172,-2.3995,-2.3857,-1.8856,-1.4886,-1.7578,-1.81,-1.5605,-1.1501,-0.94621,1st_P_neut,2,1
YOU_FIRSTTHIRD_01,202,2.9003,2.6036,2.5678,2.8328,2.496,2.3354,2.5753,2.5173,2.178,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,210,2.178,1.6435,1.266,1.192,1.5565,1.5255,1.4382,2.0476,2.3654,1st_P_neut,3,2
YOU_FIRSTTHIRD_01,220,1.7756,1.1714,1.7545,1.9915,1.7499,1.5692,1.1924,1.7377,1.0898,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,253,2.2041,2.2425,2.0317,2.1946,2.3504,2.1933,1.9917,1.906,2.0491,1st_P_neut,3,2
YOU_FIRSTTHIRD_01,267,1.8813,1.8427,2.3189,2.4393,2.4668,2.3367,2.5154,2.8966,1.9874,1st_P_neut,3,2
YOU_FIRSTTHIRD_01,276,1.9024,1.8811,1.8717,1.8236,1.5513,1.8954,2.3013,2.3307,2.294,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,285,2.2379,1.7954,1.8689,1.7163,1.2491,1.2844,1.4348,1.7366,1.5921,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,295,1.793,1.815,1.8138,1.8836,1.4367,1.9452,1.9663,2.0264,1.8559,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,357,2.3767,2.6547,1.8291,1.4697,1.788,1.7714,2.0094,2.5817,2.5218,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,374,2.0963,1.8496,1.904,2.1274,2.3126,2.4213,2.4832,2.4168,2.324,1st_P_neut,1,2
YOU_FIRSTTHIRD_01,388,2.1442,2.1108,1.743,1.7341,1.4409,1.6689,1.7773,1.7413,1.7534,1st_P_neut,1,2
